gene_id	gene_name	Anderson1B	Anderson2B	Barrow1B	Barrow2B	Bechtel1B	Bechtel2B	Bierek1B	Bierek2B	Bolong1B	Bolong2B	Bolong3B	Carey1B	Carey2B	Carroll1B	Carroll2B	Carroll3B	Chandler1B	Chandler2B	Cloquet1B	Cloquet2B	Colton1B	Colton2B	Cooper1B	Cooper2B	Fischer1B	Fischer2B	Foster1B	Foster2B	Greenwell1B	Greenwell2B	Greenwell3B	Halbert1B	Halbert2B	Heiss1B	Heiss2B	Howard1B	Howard2B	Hutter1B	Hutter2B	Keith1B	Keith2B	Klein1B	Klein2B	Lam1B	Lam2B	Martin1B	Martin2B	Max1B	Max2B	McFarland1B	McFarland2B	MJones1B	MJones2B	MJones3B	Murray1B	Pentz1B	Pentz2B	Porbandarwalla1B	Pratt1B	Pratt2B	Ptak1B	Ptak2B	Randolph1B	Randolph2B	Rothery1B	Rothery2B	Smith1B	Smith2B	Strople1B	Strople2B	Swenson1B	Swenson2B	Taucher1B	Taucher2B	Taylor1B	Taylor2B	Wells1B	Wells2B	Willoughby1B	Willoughby2B	Woolsey1B	Woolsey2B
ENSCAFG00845013010	ERI1	0	0	0	0	3	0	0	7	0	4	2	1	2	2	3	8	2	2	0	0	0	3	1	0	0	1	1	0	0	0	0	1	1	2	1	2	1	5	6	2	0	2	2	0	0	0	0	2	0	9	0	16	0	0	2	1	0	11	0	0	8	0	4	3	0	4	0	1	0	0	1	0	0	8	3	3	0	0	0	6	3	1
ENSCAFG00845013011	ATP5F1D	1	0	4	5	4	0	1	6	0	4	2	1	5	4	7	4	5	18	0	3	0	1	1	0	3	1	0	0	0	0	9	0	8	3	1	4	2	3	4	5	0	1	5	0	0	1	0	6	5	21	5.003	6	0	0	3	5	0	41	1	1	14	0	21	5	2	9	0	5	1	6	1	0	3	8	4	3	7	13.012	2	2	9	2
ENSCAFG00845013012	ENSCAFG00845013012	18	2	54	63	85	2	30	188	0	52	18	25	19	96	71	116	54	157	6	10	0	25	25	2	12	18	2	7	2	1	20	2	6	29	11	35	30	57	36	73	5	43	56	0	0	21	1	5	35	72	8	171	5	1	24	46	0	159	11	4	167	2	86	66	43	32	5	28	2	2	13	6	19	159	67	13	12	15	43	41	131	2
ENSCAFG00845013013	ENSCAFG00845013013	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSCAFG00845013014	ENSCAFG00845013014	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	1	0	0
ENSCAFG00845013015	FOXI3	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0
ENSCAFG00845013016	ENSCAFG00845013016	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSCAFG00845013017	ENSCAFG00845013017	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSCAFG00845013018	GRIP1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.999	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	3	0	4	5	4	0	1	0	0	0	0	0	0	0	1	0	0	1	0
ENSCAFG00845013019	NSD2	4	3	15	34	11	4	16	31	0	16	10	23	32	6	10	10	19	92.92	1	13	1	23	26	0	2	11	1	25	1	0	20	1	47	55	43	24	21	11	10	10	0	10	46	1	0	4	1	20	5	419.57	24	15	1	0	14	25	0	130.93	6	1	18	1	89	40	3	5	0	35	4	0	40.532	1	3	20	26	43	2	45.764	14	13.267	10	28
ENSCAFG00845013020	SRSF11	4	0	59	53	91	2	23	303	0	57	11	10	40	130	161	53	56	94	2	24	0	23	62	4	29	10	3	1	6	0	59	5	3	33.658	4	26	15	53	28	66	5	42	59	0	0	10	3	41	40	64	31	189	32	3	19	27	2	216	16	3	127	0	215.842	45	56	97	18	83	5	0	26	0	20	87	69	10	151	88	23	52	149	1
